movieId,imdbId,tmdbId,title,genres,budget,revenue,production_companies,production_countries,popularity,vote_count,vote_average
1,0114709,862,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy,30000000,373554033,Pixar,United States of America,19.62,9231,7.9
2,0113497,8844,Jumanji (1995),Adventure|Children|Fantasy,65000000,262797249,TriStar Pictures|Interscope Communications|Teitler Film,United States of America,4.106,5432,7.1
3,0113228,15602,Grumpier Old Men (1995),Comedy|Romance,0,0,Lancaster Gate|Warner Bros. Pictures,United States of America,7.552,139,6.5
4,0114885,31357,Waiting to Exhale (1995),Comedy|Drama|Romance,16000000,81452156,20th Century Fox,United States of America,4.018,52,6.0
5,0113041,11862,Father of the Bride Part II (1995),Comedy,0,76578911,Touchstone Pictures|Sandollar Productions,United States of America,8.904,279,6.1
6,0113277,949,Heat (1995),Action|Crime|Thriller,60000000,187436818,Forward Pass|Regency Enterprises|Warner Bros. Pictures,United States of America,13.468,2926,7.8
7,0114319,11860,Sabrina (1995),Comedy|Romance,58000000,0,Worldwide|Paramount|Mirage Enterprises|Sandollar Productions|Constellation Entertainment|Mont Blanc Entertainment GmbH|Scott Rudin Productions,Germany|United States of America,6.508,252,6.1
8,0112302,45325,Tom and Huck (1995),Adventure|Children,0,0,Walt Disney Pictures,United States of America,3.816,71,5.3
9,0114576,9091,Sudden Death (1995),Action,35000000,64350171,SHATTERED PRODUCTIONS|Universal Pictures|Imperial Entertainment|Signature Entertainment,United States of America,6.718,274,5.7
10,0113189,710,GoldenEye (1995),Action|Adventure|Thriller,58000000,352194034,Eon Productions|United Artists,United Kingdom|United States of America,20.552,1816,6.8
11,0112346,9087,"American President, The (1995)",Comedy|Drama|Romance,62000000,107879496,Columbia Pictures|Castle Rock Entertainment,United States of America,6.656,294,6.6
12,0112896,12110,Dracula: Dead and Loving It (1995),Comedy|Horror,0,0,Castle Rock Entertainment|Enigma Pictures|Columbia Pictures,France|United States of America,7.853,356,5.8
13,0112453,21032,Balto (1995),Adventure|Animation|Children,0,11348324,Amblin Entertainment|Amblimation|Universal Pictures,United States of America,10.055,910,7.2
14,0113987,10858,Nixon (1995),Drama,44000000,13681765,Cinergi Pictures Entertainment|Hollywood Pictures,United States of America,6.529,121,7.0
15,0112760,1408,Cutthroat Island (1995),Action|Adventure|Romance,98000000,10017322,Le Studio Canal+|Laurence Mark Productions|Metro-Goldwyn-Mayer|Carolco Pictures,France|Germany|Italy|United States of America,6.725,217,5.8
16,0112641,524,Casino (1995),Crime|Drama,52000000,116112375,Universal Pictures|Syalis DA|Légende Entreprises|De Fina-Cappa|GGG,France|United States of America,10.242,2219,7.9
17,0114388,4584,Sense and Sensibility (1995),Drama|Romance,16000000,134582776,Mirage Enterprises|Columbia Pictures,United Kingdom|United States of America,9.157,621,7.4
18,0113101,5,Four Rooms (1995),Comedy,4000000,4300000,Miramax|A Band Apart,United States of America,11.486,1050,6.3
19,0112281,9273,Ace Ventura: When Nature Calls (1995),Comedy,30000000,212385533,O Entertainment|Morgan Creek Productions|Warner Bros. Pictures,United States of America,8.759,1959,6.2
20,0113845,11517,Money Train (1995),Action|Comedy|Crime|Drama|Thriller,60000000,77224232,Columbia Pictures,United States of America,7.163,328,5.6
21,0113161,8012,Get Shorty (1995),Comedy|Crime|Thriller,30250000,115101622,Jersey Films|Metro-Goldwyn-Mayer,United States of America,9.685,445,6.5
22,0112722,1710,Copycat (1995),Crime|Drama|Horror|Mystery|Thriller,0,0,New Regency Pictures|Regency Enterprises,United States of America,9.211,363,6.5
23,0112401,9691,Assassins (1995),Action|Crime|Thriller,50000000,30303072,Dino De Laurentiis Company|Silver Pictures|Evansgideon/Lazar|Warner Bros. Pictures|Canal+|Donner/Shuler-Donner Productions,France|United States of America,7.82,611,6.2
24,0114168,12665,Powder (1995),Drama|Sci-Fi,0,0,Hollywood Pictures|Caravan Pictures,United States of America,7.269,214,6.3
25,0113627,451,Leaving Las Vegas (1995),Drama|Romance,3600000,49800000,Intial Productions|United Artists|Lumière Pictures,United States of America,9.92,549,7.2
26,0114057,16420,Othello (1995),Drama,0,0,Castle Rock Entertainment|Columbia Pictures,Italy,3.332,60,6.6
27,0114011,9263,Now and Then (1995),Children|Drama,12000000,27400000,New Line Cinema,United States of America,5.559,152,6.8
28,0114117,17015,Persuasion (1995),Drama|Romance,0,0,BBC Films|Sony Pictures Classics,France|United Kingdom,3.811,50,7.6
29,0112682,902,"City of Lost Children, The (Cité des enfants perdus, La) (1995)",Adventure|Drama|Fantasy|Mystery|Sci-Fi,18000000,1738611,Victoires Productions|Constellation Productions|Claudie Ossard Productions|Eurimages|Club d'Investissement Média|Canal+ España|Studio Image|Cofimage 4|Cofimage 5|Constellation|Elías Querejeta Producciones Cinematográficas S.L.|France 3 Cinéma|Lumière Pictures|MEDIA Programme of the European Union|Ossane|Phoenix Images|PROCIREP|Tele München Fernseh Produktionsgesellschaft (TMG)|Centre National de la Cinématographie|Canal+|Televisión Española|Sony Pictures Classics,France|Germany|Spain,8.37,450,7.5
30,0115012,37557,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),Crime|Drama,2300000,0,Ministère des Affaires Étrangères|Alpha Films|Sony Pictures Classics|La Sept Cinéma,China|France,3.175,26,6.9
31,0112792,9909,Dangerous Minds (1995),Drama,23000000,179519401,Don Simpson/Jerry Bruckheimer Films|Hollywood Pictures|Via Rosa Productions,United States of America,7.353,392,6.5
32,0114746,63,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Mystery|Sci-Fi|Thriller,29500000,168840000,Universal Pictures|Atlas Entertainment|Classico,United States of America,15.62,4013,7.5
33,0114952,78802,Wings of Courage (1995),Adventure|Romance|IMAX,0,0,Iwerks Entertainment|Sony Pictures Classics,France|United States of America,0.773,5,6.6
34,0112431,9598,Babe (1995),Children|Drama,30000000,254134910,Universal Pictures|Kennedy Miller Productions,Australia|United States of America,11.327,1370,6.1
35,0112637,47018,Carrington (1995),Drama|Romance,0,0,European Co-production Fund|StudioCanal|Cinéa|Euston Films|Freeway Films|Polygram Filmed Entertainment|Orsans Productions,France|United Kingdom,2.144,24,6.8
36,0112818,687,Dead Man Walking (1995),Crime|Drama,11000000,39363635,Havoc|PolyGram Filmed Entertainment|Working Title Films,United States of America|United Kingdom,7.631,581,7.4
37,0112286,139405,Across the Sea of Time (1995),Documentary|IMAX,0,0,Sony Pictures Classics,United States of America,0.931,3,4.3
38,0113442,33689,It Takes Two (1995),Children|Comedy,0,0,Dualstar Productions|Orr & Cruickshank|Rysher Entertainment|Warner Bros. Pictures,United States of America,8.866,335,6.3
39,0112697,9603,Clueless (1995),Comedy|Romance,12000000,56631572,Paramount,United States of America,10.035,1635,7.1
40,0112749,34615,"Cry, the Beloved Country (1995)",Drama,0,676525,Alpine Pty Limited|Distant Horizon|Miramax,South Africa,1.477,13,6.7
41,0114279,31174,Richard III (1995),Drama|War,0,0,Mayfair Entertainment International|British Screen,United Kingdom|United States of America,4.728,66,6.8
42,0112819,11443,Dead Presidents (1995),Action|Crime|Drama,10000000,0,Caravan Pictures|Underworld Entertainment|Hollywood Pictures,United States of America,6.152,112,6.6
43,0114272,35196,Restoration (1995),Drama,19000000,0,Miramax,United States of America,4.029,45,6.4
44,0113855,9312,Mortal Kombat (1995),Action|Adventure|Fantasy,18000000,122195920,New Line Cinema|Threshold Entertainment,United States of America,11.073,793,5.6
45,0114681,577,To Die For (1995),Comedy|Drama|Thriller,20000000,21284514,The Rank Organisation|Columbia Pictures,Canada|United Kingdom|United States of America,8.118,294,6.7
46,0113347,11861,How to Make an American Quilt (1995),Drama|Romance,10000000,23574130,Universal Pictures|Amblin Entertainment,United States of America,4.892,69,6.3
47,0114369,807,Seven (a.k.a. Se7en) (1995),Mystery|Thriller,33000000,327311859,Juno Pix|New Line Cinema|Cecchi Gori Pictures,United States of America,30.005,9616,8.3
48,0114148,10530,Pocahontas (1995),Animation|Children|Drama|Musical|Romance,55000000,346079773,Walt Disney Animation Studios|Walt Disney Pictures,United States of America,12.93,2829,6.9
49,0114916,8391,When Night Is Falling (1995),Drama|Romance,0,0,Alliance Communications Corporation,Canada,2.575,26,6.6
50,0114814,629,"Usual Suspects, The (1995)",Crime|Mystery|Thriller,6000000,23341568,Bad Hat Harry Productions|Blue Parrot Productions,United States of America,14.144,5212,8.2
51,0109950,117164,Guardian Angel (1994),Action|Drama|Thriller,0,0,,,1.4,4,6.3
52,0113819,11448,Mighty Aphrodite (1995),Comedy|Drama|Romance,15000000,6700000,Magnolia Pictures|Miramax,United States of America,5.321,240,6.7
53,0110299,49133,Lamerica (1994),Adventure|Drama,0,0,,Italy|France|Switzerland,1.373,16,7.3
54,0112499,26441,"Big Green, The (1995)",Children|Comedy,0,0,Caravan Pictures|Walt Disney Pictures,United States of America,4.056,66,5.1
55,0113158,97406,Georgia (1995),Drama,0,0,CiBy 2000|Miramax,France|United States of America,1.56,16,6.3
56,0113541,124057,Kids of the Round Table (1995),Adventure|Children|Fantasy,0,0,Melenny Productions|Téléfilm Canada,,0.6,2,4.0
57,0113321,9089,Home for the Holidays (1995),Drama,0,17519169,Egg Pictures|Paramount|PolyGram Filmed Entertainment,United States of America,4.095,65,6.4
58,0110877,11010,"Postman, The (Postino, Il) (1994)",Comedy|Drama|Romance,0,0,,Belgium|France|Italy,7.562,397,7.9
59,0112714,99040,"Confessional, The (Confessionnal, Le) (1995)",Drama|Mystery,0,0,,Canada,1.097,6,6.8
60,0113419,11359,"Indian in the Cupboard, The (1995)",Adventure|Children|Fantasy,45000000,0,Paramount|The Kennedy/Marshall Company|Columbia Pictures,United States of America,6.778,241,6.0
61,0116260,17182,Eye for an Eye (1996),Drama|Thriller,20000000,26877589,Paramount,United States of America,6.097,104,6.0
62,0113862,2054,Mr. Holland's Opus (1995),Drama,0,106269971,Hollywood Pictures|The Charlie Mopic Company|Interscope Communications|PolyGram Filmed Entertainment,United States of America,5.234,161,7.1
63,0116126,10607,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),Comedy|Crime,0,0,Ivory Way Productions|Miramax|Island Pictures,United States of America,10.759,320,6.1
64,0118002,19760,Two if by Sea (1996),Comedy|Romance,0,0,Morgan Creek Productions|Warner Bros. Pictures,United States of America,1.991,28,4.8
65,0115683,9536,Bio-Dome (1996),Comedy,15000000,0,Weasel Productions|Metro-Goldwyn-Mayer|3 Arts Entertainment|Motion Picture Corporation of America,United States of America,5.975,167,4.4
66,0116839,11525,Lawnmower Man 2: Beyond Cyberspace (1996),Action|Sci-Fi|Thriller,0,2409225,New Line Cinema,United States of America,3.947,56,2.9
67,0114753,40628,Two Bits (1995),Drama,0,0,Miramax,United States of America,2.894,19,5.8
68,0113149,4482,French Twist (Gazon maudit) (1995),Comedy|Romance,0,0,Les Films Flam|Renn Productions|Canal+|TF1 Films Production,France,5.82,108,6.2
69,0113118,10634,Friday (1995),Comedy,3500000,28215918,New Line Cinema,United States of America,9.52,766,7.1
70,0116367,755,From Dusk Till Dawn (1996),Action|Comedy|Horror|Thriller,19000000,25836616,Los Hooligans Productions|A Band Apart|Dimension Films|Miramax,United States of America,14.547,2723,6.9
71,0113010,11859,Fair Game (1995),Action,50000000,11534477,Silver Pictures|Warner Bros. Pictures,United States of America,6.898,92,4.1
72,0113537,28387,Kicking and Screaming (1995),Comedy|Drama,0,718490,Castleberg Productions|Sandollar Productions|Lions Gate Films,United States of America,3.061,53,6.9
73,0113828,48750,"Misérables, Les (1995)",Drama|War,0,0,TF1|Les Films 13|Canal+,France,2.747,17,6.7
74,0115644,20927,Bed of Roses (1996),Drama|Romance,0,19030691,New Line Cinema|Juno Pix,United States of America,3.67,42,5.3
75,0115676,36929,Big Bully (1996),Comedy|Drama,15000000,2042530,Morgan Creek Productions|Warner Bros. Pictures,United States of America,3.058,30,3.9
76,0114367,9102,Screamers (1995),Action|Sci-Fi|Thriller,20000000,5781885,Fuji Eight Company Ltd.|Allegro Films|Fries Film Group|Super Ecran|Triumph Films|The Movie Network,Canada|Japan|United States of America,11.134,217,6.1
77,0113973,124626,Nico Icon (1995),Documentary,0,0,ZDF|Bluehorse Films|Ciak Filmproduktion,Germany|United States of America,0.961,4,7.5
78,0112744,27526,"Crossing Guard, The (1995)",Action|Crime|Drama|Thriller,0,0,Miramax,United States of America,4.657,109,6.1
79,0116731,9623,"Juror, The (1996)",Drama|Thriller,44000000,0,Columbia Pictures,United States of America,7.584,139,5.5
80,0112445,46785,"White Balloon, The (Badkonake sefid) (1995)",Children|Drama,0,0,I.R.I.B. Channel 2|Ferdos Films,Iran,1.864,35,7.6
81,0114660,400,Things to Do in Denver When You're Dead (1995),Crime|Drama|Romance,8000000,529766,Miramax,United States of America,8.083,143,6.6
82,0112379,880,Antonia's Line (Antonia) (1995),Comedy|Drama,900000,0,Bergen Film|Bard Entertainments|NPS Televisie,Netherlands|United Kingdom|Belgium,4.096,45,7.4
83,0114039,146599,Once Upon a Time... When We Were Colored (1995),Drama|Romance,0,0,BET Pictures|United Image Entertainme,United States of America,0.901,2,4.5
84,0113612,188588,Last Summer in the Hamptons (1995),Comedy|Drama,0,0,,,0.6,0,0.0
85,0112365,8447,Angels and Insects (1995),Drama|Romance,0,0,Playhouse International Pictures|Samuel Goldwyn Company,United Kingdom|United States of America,1.4,19,6.5
86,0118158,10534,White Squall (1996),Action|Adventure|Drama,38000000,10300000,Hollywood Pictures|Largo Entertainment|Scott Free Productions,United States of America,6.174,140,6.3
87,0116151,17414,Dunston Checks In (1996),Children|Comedy,16000000,0,Joe Wizan/Todd Black|20th Century Fox,United States of America,6.469,95,5.1
88,0115697,13997,Black Sheep (1996),Comedy,0,32,Paramount,United States of America,6.679,154,6.0
89,0113972,2086,Nick of Time (1995),Action|Thriller,8169363,8175346,Paramount,United States of America,6.876,296,6.1
90,0113490,61548,"Journey of August King, The (1995)",Drama,0,0,Miramax|Addis Wechsler Pictures,United States of America,0.681,3,6.7
92,0117002,9095,Mary Reilly (1996),Drama|Horror|Thriller,47000000,12379402,NFH Productions|TriStar Pictures,United States of America,6.336,124,5.8
